Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
Burkina Faso,12.2383,-1.5616,5/13/20,773,51,592,2020-05-13,AF,Africa
Cabo Verde,16.5388,-23.0418,5/13/20,289,2,61,2020-05-13,AF,Africa
Cambodia,11.55,104.9167,5/13/20,122,0,121,2020-05-13,AS,Asia
Cameroon,3.848,11.5021,5/13/20,2800,136,1543,2020-05-13,AF,Africa
Canada,53.9333,-116.5765,5/13/20,6407,120,0,2020-05-13,,North America
Canada,49.2827,-123.1207,5/13/20,2376,132,0,2020-05-13,,North America
Canada,37.6489,-122.6655,5/13/20,13,0,0,2020-05-13,,North America
Canada,53.7609,-98.8139,5/13/20,290,7,0,2020-05-13,,North America
Canada,46.5653,-66.4619,5/13/20,120,0,0,2020-05-13,,North America
Canada,53.1355,-57.6604,5/13/20,261,3,0,2020-05-13,,North America
Canada,44.682,-63.7443,5/13/20,1024,51,0,2020-05-13,,North America
Canada,51.2538,-85.3232,5/13/20,22516,1883,0,2020-05-13,,North America
Canada,46.5107,-63.4168,5/13/20,27,0,0,2020-05-13,,North America
Canada,52.9399,-73.5491,5/13/20,39940,3221,0,2020-05-13,,North America
Canada,52.9399,-106.4509,5/13/20,577,7,0,2020-05-13,,North America
Central African Republic,6.6111,20.9394,5/13/20,143,0,10,2020-05-13,AF,Africa
Chad,15.4542,18.7322,5/13/20,372,42,78,2020-05-13,AF,Africa
Chile,-35.6751,-71.543,5/13/20,34381,346,14865,2020-05-13,SA,South America
China,31.8257,117.2264,5/13/20,991,6,985,2020-05-13,AS,Asia
China,40.1824,116.4142,5/13/20,593,9,574,2020-05-13,AS,Asia
China,30.0572,107.874,5/13/20,579,6,573,2020-05-13,AS,Asia
China,26.0789,117.9874,5/13/20,356,1,354,2020-05-13,AS,Asia
China,37.8099,101.0583,5/13/20,139,2,137,2020-05-13,AS,Asia
China,23.3417,113.4244,5/13/20,1589,8,1579,2020-05-13,AS,Asia
China,23.8298,108.7881,5/13/20,254,2,252,2020-05-13,AS,Asia
China,26.8154,106.8748,5/13/20,147,2,145,2020-05-13,AS,Asia
China,19.1959,109.7453,5/13/20,168,6,162,2020-05-13,AS,Asia
China,39.549,116.1306,5/13/20,328,6,321,2020-05-13,AS,Asia
China,47.862,127.7615,5/13/20,945,13,930,2020-05-13,AS,Asia
China,33.882,113.614,5/13/20,1276,22,1254,2020-05-13,AS,Asia
China,22.3,114.2,5/13/20,1050,4,1008,2020-05-13,AS,Asia
China,30.9756,112.2707,5/13/20,68134,4512,63616,2020-05-13,AS,Asia
China,27.6104,111.7088,5/13/20,1019,4,1015,2020-05-13,AS,Asia
China,44.0935,113.9448,5/13/20,209,1,190,2020-05-13,AS,Asia
China,32.9711,119.455,5/13/20,653,0,653,2020-05-13,AS,Asia
China,27.614,115.7221,5/13/20,937,1,936,2020-05-13,AS,Asia
China,43.6661,126.1923,5/13/20,134,1,108,2020-05-13,AS,Asia
China,41.2956,122.6085,5/13/20,149,2,144,2020-05-13,AS,Asia
China,22.1667,113.55,5/13/20,45,0,43,2020-05-13,AS,Asia
China,37.2692,106.1655,5/13/20,75,0,75,2020-05-13,AS,Asia
China,35.7452,95.9956,5/13/20,18,0,18,2020-05-13,AS,Asia
China,35.1917,108.8701,5/13/20,308,3,297,2020-05-13,AS,Asia
